0.0,32.6,14.6,32.2,32.2,24.8,21.0,31.6,17.8,15.6,26.4,16.6,26.4,46.9,45.4,42.4,40.7,22.8,28.2,16.5,29.3,39.2,46.2,27.8,37.6,19.4,10.8,12.0,24.0,11.0,10.4,20.9,12.4,24.7,27.2,40.5,35.8,56.9,41.6,24.0,42.0,40.7,49.4,46.1,36.7,39.0,33.7,28.2,39.8,6.3
32.6,0.0,34.4,20.2,23.9,16.4,36.2,36.1,47.4,43.3,50.3,23.4,9.4,21.2,13.0,25.2,32.7,27.5,47.4,49.0,10.4,12.2,23.3,35.0,30.1,16.4,23.0,20.9,38.3,43.3,35.2,52.0,39.4,48.4,55.6,54.2,15.3,32.3,25.5,9.4,12.2,12.1,18.4,24.2,35.8,45.3,47.4,41.3,58.7,32.3
14.6,34.4,0.0,25.0,42.7,33.5,35.4,45.0,15.0,29.2,40.3,11.2,32.0,53.2,47.2,51.5,52.2,35.4,42.7,22.4,26.9,36.4,40.0,14.1,26.9,18.0,20.6,16.1,9.5,21.2,25.0,31.2,7.3,14.1,21.5,55.1,43.0,64.0,33.4,25.0,40.2,45.3,52.8,53.8,49.5,53.1,48.3,42.6,54.1,8.2
32.2,20.2,25.0,0.0,41.2,31.6,46.1,50.5,40.0,47.2,57.0,15.8,25.5,41.2,29.2,45.0,51.0,40.3,56.6,46.1,10.0,14.1,15.0,18.0,10.0,14.1,28.3,22.0,23.8,42.7,40.0,52.9,32.1,36.4,45.7,66.4,35.0,52.2,9.4,15.8,18.4,32.0,36.2,44.4,52.2,59.9,59.2,52.8,68.6,28.2
32.2,23.9,42.7,41.2,0.0,10.0,20.6,13.9,50.0,33.5,35.4,35.4,15.8,20.0,29.2,11.2,10.0,11.2,30.0,46.1,31.6,36.1,47.2,50.2,51.0,30.0,22.4,26.9,50.4,39.1,27.2,43.8,43.9,55.9,59.4,32.7,11.2,26.9,48.5,25.5,35.5,20.1,28.2,16.5,12.0,22.2,26.9,22.1,39.1,36.2
24.8,16.4,33.5,31.6,10.0,0.0,20.6,19.8,42.4,30.4,35.4,25.5,7.1,22.4,25.5,18.0,20.0,11.2,31.6,40.3,22.4,28.3,39.1,40.3,41.2,20.0,14.1,17.5,40.8,33.5,22.8,40.3,35.6,47.2,51.7,37.8,11.2,32.0,39.4,15.8,28.6,18.0,27.1,21.3,20.6,29.2,31.1,25.1,42.5,27.8
21.0,36.2,35.4,46.1,20.6,20.6,0.0,12.2,36.4,14.1,15.0,33.5,26.9,40.3,46.1,31.6,25.0,10.0,11.2,29.2,39.1,47.2,57.0,47.4,54.1,32.0,18.0,24.7,44.7,22.4,11.2,24.2,33.1,45.3,45.5,20.6,30.0,47.4,55.2,32.0,48.3,38.2,47.1,37.1,18.4,18.1,13.4,7.3,22.8,27.2
31.6,36.1,45.0,50.5,13.9,19.8,12.2,0.0,48.1,26.2,24.2,40.8,26.9,33.4,42.9,23.0,13.9,10.4,17.7,41.3,41.9,48.1,58.9,55.6,59.6,37.3,25.2,31.6,54.0,34.5,22.8,36.1,43.9,56.3,57.4,18.8,25.1,38.3,58.8,35.0,48.2,34.0,42.1,29.0,6.4,9.4,13.2,9.5,25.3,37.2
17.8,47.4,15.0,40.0,50.0,42.4,36.4,48.1,0.0,25.0,35.4,25.5,43.0,64.0,60.4,60.2,58.3,40.3,40.0,11.2,41.2,51.0,55.0,26.9,41.2,31.6,28.3,26.9,20.1,15.0,25.3,21.9,8.2,11.2,9.4,53.0,53.2,74.3,48.3,38.1,54.6,57.1,65.4,63.7,53.7,54.3,47.2,42.8,49.6,15.3
15.6,43.3,29.2,47.2,33.5,30.4,14.1,26.2,25.0,0.0,11.2,32.0,35.0,52.2,55.0,44.7,39.1,22.4,15.0,15.8,42.7,52.2,60.4,43.0,53.2,33.5,20.6,25.5,38.5,10.0,8.1,10.3,24.4,35.4,33.4,28.0,41.2,60.4,56.6,36.4,54.3,48.4,57.4,49.8,32.6,30.5,22.4,18.8,25.3,21.4
