0.0,4.1,15.6,10.0,8.6,13.4,34.4,35.4,39.6,38.6,51.0,31.9,25.1,24.0,30.8,41.0,33.6,35.8,27.5,30.0,30.9,31.9,36.6,33.1,39.2
4.1,0.0,12.0,6.4,6.7,11.2,38.2,39.5,43.7,42.5,55.0,35.4,28.5,28.2,32.6,44.9,37.4,39.8,31.4,33.8,34.9,35.6,40.5,37.1,43.0
15.6,12.0,0.0,5.7,15.8,6.3,46.3,49.3,54.2,54.1,66.4,47.4,35.0,38.9,33.5,56.6,49.2,51.3,43.0,45.6,46.3,47.5,52.2,48.5,54.8
10.0,6.4,5.7,0.0,11.0,6.3,42.0,44.4,49.0,48.5,60.9,41.7,31.3,33.6,32.2,51.0,43.6,45.8,37.4,40.0,40.8,41.9,46.6,43.0,49.2
8.6,6.7,15.8,11.0,0.0,17.0,42.2,42.0,45.4,42.7,55.4,33.8,33.5,30.1,39.1,44.8,37.2,40.2,31.6,33.6,35.4,34.9,40.3,37.6,42.5
13.4,11.2,6.3,6.3,17.0,0.0,40.6,44.4,49.6,50.4,62.4,45.0,29.1,34.7,27.3,53.2,46.0,47.6,39.6,42.4,42.6,44.6,48.8,44.8,51.6
34.4,38.2,46.3,42.0,42.2,40.6,0.0,10.0,16.5,25.0,31.0,31.8,12.1,16.3,25.6,28.0,26.0,23.2,22.8,25.1,21.2,27.9,26.3,21.6,29.2
35.4,39.5,49.3,44.4,42.0,44.4,10.0,0.0,6.7,15.1,21.5,23.6,19.2,12.2,34.5,18.0,17.0,13.6,15.6,17.0,12.8,19.4,16.8,12.5,19.4
39.6,43.7,54.2,49.0,45.4,49.6,16.5,6.7,0.0,10.3,14.8,21.4,25.8,15.5,41.2,12.6,14.2,9.9,15.5,15.7,11.7,17.2,12.8,10.3,14.8
38.6,42.5,54.1,48.5,42.7,50.4,25.0,15.1,10.3,0.0,12.6,12.6,31.6,16.4,47.4,3.2,6.0,2.8,11.2,9.2,7.8,9.1,3.2,5.7,4.5
51.0,55.0,66.4,60.9,55.4,62.4,31.0,21.5,14.8,12.6,0.0,24.0,40.5,27.8,55.9,11.0,18.4,15.2,23.8,21.8,20.1,21.2,15.3,17.9,14.0
31.9,35.4,47.4,41.7,33.8,45.0,31.8,23.6,21.4,12.6,24.0,0.0,34.1,17.1,49.1,13.0,7.2,11.7,9.2,6.7,10.8,4.2,9.5,11.3,10.0
25.1,28.5,35.0,31.3,33.5,29.1,12.1,19.2,25.8,31.6,40.5,34.1,0.0,17.0,15.8,34.8,30.3,29.1,25.0,28.0,25.3,31.0,31.8,26.7,34.9
24.0,28.2,38.9,33.6,30.1,34.7,16.3,12.2,15.5,16.4,27.8,17.1,17.0,0.0,32.4,19.4,13.6,13.6,8.0,11.0,8.9,14.0,15.7,10.8,18.8
30.8,32.6,33.5,32.2,39.1,27.3,25.6,34.5,41.2,47.4,55.9,49.1,15.8,32.4,0.0,50.6,45.9,44.9,40.3,43.4,41.0,46.4,47.5,42.4,50.7
41.0,44.9,56.6,51.0,44.8,53.2,28.0,18.0,12.6,3.2,11.0,13.0,34.8,19.4,50.6,0.0,7.6,5.8,13.6,11.2,10.6,10.2,4.5,8.6,3.2
33.6,37.4,49.2,43.6,37.2,46.0,26.0,17.0,14.2,6.0,18.4,7.2,30.3,13.6,45.9,7.6,0.0,4.5,6.4,3.6,5.0,3.2,3.2,4.5,5.7
35.8,39.8,51.3,45.8,40.2,47.6,23.2,13.6,9.9,2.8,15.2,11.7,29.1,13.6,44.9,5.8,4.5,0.0,8.5,7.0,5.0,7.6,3.2,2.8,6.0
27.5,31.4,43.0,37.4,31.6,39.6,22.8,15.6,15.5,11.2,23.8,9.2,25.0,8.0,40.3,13.6,6.4,8.5,0.0,3.2,4.0,6.1,9.2,6.1,12.0
30.0,33.8,45.6,40.0,33.6,42.4,25.1,17.0,15.7,9.2,21.8,6.7,28.0,11.0,43.4,11.2,3.6,7.0,3.2,0.0,4.2,3.0,6.7,5.4,9.2
30.9,34.9,46.3,40.8,35.4,42.6,21.2,12.8,11.7,7.8,20.1,10.8,25.3,8.9,41.0,10.6,5.0,5.0,4.0,4.2,0.0,6.7,6.7,2.2,9.8
31.9,35.6,47.5,41.9,34.9,44.6,27.9,19.4,17.2,9.1,21.2,4.2,31.0,14.0,46.4,10.2,3.2,7.6,6.1,3.0,6.7,0.0,6.0,7.1,7.6
36.6,40.5,52.2,46.6,40.3,48.8,26.3,16.8,12.8,3.2,15.3,9.5,31.8,15.7,47.5,4.5,3.2,3.2,9.2,6.7,6.7,6.0,0.0,5.1,3.2
33.1,37.1,48.5,43.0,37.6,44.8,21.6,12.5,10.3,5.7,17.9,11.3,26.7,10.8,42.4,8.6,4.5,2.8,6.1,5.4,2.2,7.1,5.1,0.0,8.2
39.2,43.0,54.8,49.2,42.5,51.6,29.2,19.4,14.8,4.5,14.0,10.0,34.9,18.8,50.7,3.2,5.7,6.0,12.0,9.2,9.8,7.6,3.2,8.2,0.0
